City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Wlodawa,PL,77.31,overcast clouds,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
483,Kavaratti,IN,82.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
484,Mapimi,MX,86.77,few clouds,25.8167,-103.85,Propiedad Lldm
485,Channelview,US,88.14,broken clouds,29.7761,-95.1146,Fairfield Inn & Suites by Marriott Houston Channelview
487,Asilah,MA,82.36,clear sky,35.465,-6.0348,Hotel Zelis
489,Abu Zabad,SD,84.74,overcast clouds,12.35,29.25,حامد محمد نور
491,Purificacion,CO,84.38,broken clouds,3.8587,-74.9313,Hotel Villa de las Palmas
492,Dessau,DE,79.52,broken clouds,51.8386,12.2456,"Radisson Blu Fürst Leopold Hotel, Dessau"
493,Grand Baie,MU,73.45,broken clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
495,Seabra,BR,78.87,overcast clouds,-12.4186,-41.7703,Cambuí Hotel
500,Chapais,CA,71.2,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
501,Maragogi,BR,80.85,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
502,Berea,US,85.69,few clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
507,Aranzazu,CO,68.97,overcast clouds,5.2712,-75.4904,Hotel Faro del Norte
508,Manaskent,RU,67.42,scattered clouds,42.7275,47.6785,Baza Dgu
510,Savannah Bight,HN,87.01,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
511,Lata,PT,83.05,clear sky,40.1629,-8.3327,Casa Maquia
513,Sokoni,TZ,78.17,clear sky,-6.4333,39.55,Ujamaa Beach Resort
515,Mahibadhoo,MV,83.35,clear sky,3.7833,72.9667,Omadhoo Inn
517,Zhezkazgan,KZ,71.01,broken clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
518,Udaipura,IN,89.28,scattered clouds,23.0833,78.5,Hotel Kanha Palace
519,Cap Malheureux,MU,73.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
521,Eslov,SE,76.48,few clouds,55.8393,13.3039,Stensson
523,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
524,The Valley,AI,83.82,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
525,Djambala,CG,77.86,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
528,Talavera De La Reina,ES,86.86,clear sky,39.9635,-4.8308,Be Live City Center Talavera
531,Margate,GB,73.18,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
534,Jiuquan,CN,66.15,light rain,39.7432,98.5174,Jiuquan Hotel
535,Shache,CN,85.53,broken clouds,38.4167,77.2406,Delong Hotel
538,Wijchen,NL,72.09,overcast clouds,51.8,5.7167,Logis HOTEL RESTAURANT ZALEN HOOGEERD
540,Santa Cruz,BO,74.3,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
543,General Jose Eduvigis Diaz,PY,68.04,overcast clouds,-27.1667,-58.4167,Hotel Tala Puera
544,Ratekau,DE,70.47,clear sky,53.95,10.7333,Romantik Hotel Fuchsbau
546,Lincoln,US,81.54,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
547,Shiyan,CN,77.83,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
548,Maumere,ID,78.03,broken clouds,-8.6199,122.2111,Sylvia Hotel
549,San Jose,US,69.03,few clouds,37.3394,-121.895,The Westin San Jose
551,Kiunga,PG,73.04,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
