City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Coquimbo,CL,2021-06-05 17:11:22,-29.9533,-71.3436,58.73,82,75,3.78
211,Mogadishu,SO,2021-06-05 17:11:23,2.0371,45.3438,79.14,83,57,16.02
212,Duluth,US,2021-06-05 17:11:23,46.7833,-92.1066,92.32,42,1,1.99
213,Mayumba,GA,2021-06-05 17:08:24,-3.432,10.6554,78.49,84,67,6.73
214,Kavaratti,IN,2021-06-05 17:11:24,10.5669,72.642,82.74,77,100,13.91
215,Fukue,JP,2021-06-05 17:11:24,32.6881,128.8419,66.9,83,91,8.01
216,Oriximina,BR,2021-06-05 17:11:24,-1.7656,-55.8661,91.06,49,20,6.29
217,Lengshuitan,CN,2021-06-05 17:11:25,26.4111,111.5956,67.66,78,0,3.15
218,Suhbaatar,MN,2021-06-05 17:11:25,50.2314,106.2078,66.74,52,87,1.25
219,Pangnirtung,CA,2021-06-05 17:11:26,66.1451,-65.7125,35.24,93,73,3.31
220,Kupang,ID,2021-06-05 17:11:26,-10.1667,123.5833,76.98,84,37,12.37
221,Dong Hoi,VN,2021-06-05 17:11:26,17.4833,106.6,81.41,82,100,4.21
222,Sao Joao Da Barra,BR,2021-06-05 17:06:52,-21.6403,-41.0511,77.09,73,11,6.2
223,Bluefield,US,2021-06-05 17:11:27,37.2698,-81.2223,83.16,50,40,0.0
224,Derzhavinsk,KZ,2021-06-05 17:11:27,51.1,66.3167,59.61,35,95,8.16
225,Bardiyah,LY,2021-06-05 17:11:28,31.7561,25.0865,72.7,58,0,12.77
226,Santa Catalina,PH,2021-06-05 17:11:28,9.3337,122.8637,79.77,82,78,5.61
227,Juneau,US,2021-06-05 17:11:28,58.3019,-134.4197,50.05,94,90,3.4
228,Ocampo,MX,2021-06-05 17:11:29,21.65,-101.5,74.28,34,52,5.06
229,Dicabisagan,PH,2021-06-05 17:09:54,17.0818,122.4157,81.55,85,90,6.87
230,Klaksvik,FO,2021-06-05 17:11:30,62.2266,-6.589,50.92,90,55,13.15
231,Venado Tuerto,AR,2021-06-05 17:11:30,-33.7456,-61.9688,69.89,42,57,14.76
232,Robertsport,LR,2021-06-05 17:11:30,6.7533,-11.3686,82.87,76,75,9.24
233,Haines Junction,CA,2021-06-05 17:11:31,60.7522,-137.5108,50.97,65,94,4.63
234,Tiznit,MA,2021-06-05 17:11:31,29.5833,-9.5,69.66,55,0,9.04
235,Henties Bay,NA,2021-06-05 17:11:31,-22.116,14.2845,71.62,42,0,8.08
236,Isangel,VU,2021-06-05 17:06:54,-19.55,169.2667,74.7,82,86,6.91
237,Qaanaaq,GL,2021-06-05 17:11:32,77.484,-69.3632,38.07,82,100,5.14
238,Lempaala,FI,2021-06-05 17:11:32,61.3167,23.75,71.98,40,0,6.22
239,Lumeje,AO,2021-06-05 17:11:33,-11.55,20.7833,64.96,39,100,3.91
240,Palauig,PH,2021-06-05 17:11:33,15.435,119.9045,81.41,84,73,4.14
241,Puerto Escondido,MX,2021-06-05 17:11:24,15.85,-97.0667,88.63,66,40,0.0
242,Avarua,CK,2021-06-05 17:06:39,-21.2078,-159.775,71.65,94,75,10.36
243,Axim,GH,2021-06-05 17:11:34,4.8699,-2.2405,82.02,73,58,10.6
244,Mao,ES,2021-06-05 17:11:34,39.8885,4.2658,66.76,88,40,2.3
245,Turangi,NZ,2021-06-05 17:11:34,-39.0,175.9333,42.42,99,100,3.09
246,Trebisacce,IT,2021-06-05 17:11:35,39.8708,16.5312,78.35,47,48,4.07
247,Mount Isa,AU,2021-06-05 17:11:35,-20.7333,139.5,58.77,47,75,9.22
248,Formosa,AR,2021-06-05 17:11:35,-26.1775,-58.1781,82.38,57,75,8.05
249,San Cristobal,VE,2021-06-05 17:09:18,7.7669,-72.225,84.38,53,82,7.47
250,Champerico,GT,2021-06-05 17:11:36,14.3,-91.9167,92.28,68,100,6.51
251,Ciudad Real,ES,2021-06-05 17:11:36,39.0,-4.0,67.05,78,100,1.01
