City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Wattegama,LK,6.7989,81.4808,81.52,74,100,5.99,overcast clouds
273,Carroll,US,39.5501,-77.0164,91.54,49,1,1.99,clear sky
274,Ouadda,CF,8.0777,22.4007,81.21,62,80,3.36,broken clouds
275,Wau,SS,7.7029,27.9953,84.61,56,52,5.32,broken clouds
276,Linhares,BR,-19.3911,-40.0722,81.48,58,39,6.42,scattered clouds
277,Tiarei,PF,-17.5333,-149.3333,75.22,77,6,12.62,clear sky
278,Pochutla,MX,15.7432,-96.4661,90.82,52,92,3.2,overcast clouds
279,Kailua,US,21.4022,-157.7394,75.18,74,20,6.91,few clouds
280,Vila,PT,42.0304,-8.1588,74.75,48,81,5.97,broken clouds
281,Nyurba,RU,63.2842,118.3319,46.87,86,100,5.37,overcast clouds
282,Tocopilla,CL,-22.092,-70.1979,68.2,63,10,8.3,clear sky
283,Kaltasy,RU,55.9693,54.8032,63.5,60,3,2.51,clear sky
284,Kozan,TR,37.4552,35.8157,83.3,36,1,13.69,clear sky
285,Coihaique,CL,-45.5752,-72.0662,45.21,76,75,8.05,broken clouds
286,Porto Novo,BJ,6.4965,2.6036,84.81,65,72,9.98,broken clouds
287,Domoni,KM,-12.2569,44.5319,77.61,75,88,13.0,overcast clouds
288,Roald,NO,62.5833,6.1333,60.17,82,75,9.22,broken clouds
289,Shama,CN,33.6102,104.2852,55.11,90,99,3.18,overcast clouds
290,Araouane,ML,18.9048,-3.5265,111.94,8,3,12.08,clear sky
291,Khatanga,RU,71.9667,102.5,34.21,86,99,4.97,overcast clouds
292,Egvekinot,RU,66.3167,-179.1667,31.68,83,25,2.93,scattered clouds
293,Yerbogachen,RU,61.2767,108.0108,41.61,54,19,9.19,few clouds
294,Bilibino,RU,68.0546,166.4372,55.0,62,3,3.22,clear sky
295,Faanui,PF,-16.4833,-151.75,80.56,72,2,11.88,clear sky
296,Komsomolskiy,UZ,40.4272,71.7189,92.12,21,46,6.91,scattered clouds
297,Palana,RU,59.1167,159.9667,40.8,87,100,6.51,overcast clouds
298,Zhigansk,RU,66.7697,123.3711,47.66,42,37,7.72,scattered clouds
299,Pangody,RU,65.85,74.4859,40.26,55,93,12.71,overcast clouds
300,Staryy Nadym,RU,65.6118,72.6842,42.51,50,60,11.77,broken clouds
301,Schramberg,DE,48.224,8.3858,63.97,70,100,2.77,overcast clouds
302,Atlantic City,US,39.3643,-74.4229,92.25,56,1,11.12,clear sky
303,Sabha,LY,27.0377,14.4283,97.45,10,65,13.69,broken clouds
304,Hillsborough,US,37.5741,-122.3794,67.51,69,20,3.0,haze
305,Inongo,CD,-1.95,18.2667,71.19,94,82,4.94,light rain
306,Jalu,LY,29.0331,21.5482,89.8,15,0,14.27,clear sky
307,Funadhoo,MV,6.15,73.2667,82.67,77,100,13.11,overcast clouds
308,Sola,VU,-13.8833,167.55,79.41,77,36,13.09,scattered clouds
309,Adamas,GR,36.7333,24.4333,78.22,63,4,7.05,clear sky
310,Maisach,DE,48.2167,11.2667,67.68,87,90,1.01,overcast clouds
311,Salalah,OM,17.0151,54.0924,83.55,84,29,9.57,scattered clouds
312,Suihua,CN,46.6406,126.9969,55.47,88,20,6.17,few clouds
313,Provideniya,RU,64.3833,-173.3,36.48,74,14,4.83,few clouds
314,Sibolga,ID,1.7427,98.7792,76.46,80,5,3.65,clear sky
315,Jumla,NP,29.2747,82.1838,57.7,88,58,0.92,broken clouds
316,Kushima,JP,31.4583,131.2333,66.31,93,100,0.67,overcast clouds
317,Concepcion,CL,-36.827,-73.0498,49.8,76,0,4.61,clear sky
318,Ojinaga,MX,29.5667,-104.4167,90.57,14,1,13.8,clear sky
319,Berlevag,NO,70.8578,29.0864,42.8,71,7,8.43,clear sky
320,Coahuayana,MX,18.7333,-103.6833,90.88,44,97,4.14,overcast clouds
321,Clyde River,CA,70.4692,-68.5914,34.03,100,90,12.66,light rain
